1.0,0.738,0.769,0.673
0.825,0.606,0.592,0.512
0.841,0.648,0.66,0.535
0.906,0.683,0.708,0.604
0.885,0.627,0.678,0.553
0.796,0.607,0.608,0.493
0.719,0.567,0.587,0.44
0.807,0.605,0.618,0.549
0.738,0.521,0.605,0.43
1.0,0.798,0.831,0.713
0.861,0.727,0.702,0.667
0.915,0.748,0.748,0.725
0.889,0.708,0.714,0.65
0.937,0.776,0.756,0.75
0.802,0.667,0.644,0.638
0.793,0.661,0.634,0.643
0.83,0.674,0.634,0.677
0.804,0.664,0.633,0.651
1.0,0.845,0.807,0.757
0.947,0.768,0.753,0.777
0.931,0.762,0.749,0.714
0.904,0.739,0.667,0.64
0.866,0.737,0.701,0.726
0.838,0.693,0.663,0.587
0.791,0.674,0.642,0.632
0.854,0.681,0.66,0.546
0.793,0.622,0.648,0.638
1.0,0.851,0.82,0.751
0.905,0.783,0.751,0.66
0.897,0.766,0.716,0.688
0.951,0.771,0.735,0.676
0.926,0.824,0.776,0.699
0.849,0.714,0.691,0.644
0.791,0.697,0.717,0.602
0.872,0.747,0.693,0.637
0.828,0.738,0.668,0.632
1.0,0.822,0.865,0.785
0.721,0.611,0.65,0.608
0.745,0.635,0.678,0.651
0.945,0.775,0.835,0.735
0.94,0.742,0.808,0.727
0.674,0.561,0.586,0.581
0.663,0.57,0.618,0.56
0.729,0.587,0.652,0.584
0.676,0.549,0.607,0.579
0.024,0.051,0.113,0.049
0.009,0.008,0.005,0.024
0.009,0.026,0.069,0.034
0.023,0.079,0.08,0.044
0.034,0.004,0.052,0.016
0.064,0.02,0.014,0.07
0.034,0.058,0.087,0.087
0.04,0.065,0.061,0.074
0.006,0.047,0.06,0.016
0.123,0.111,0.08,0.089
0.125,0.113,0.114,0.18
0.136,0.137,0.026,0.104
0.116,0.099,0.027,0.072
0.026,0.057,0.073,0.03
0.113,0.089,0.063,0.096
0.038,0.076,0.029,0.076
0.068,0.133,0.06,0.078
0.099,0.064,0.04,0.152
0.08,0.082,0.009,0.025
0.014,0.077,0.095,0.054
0.009,0.048,0.059,0.059
0.07,0.124,0.063,0.009
0.028,0.014,0.035,0.029
0.027,0.031,0.095,0.048
0.038,0.043,0.034,0.041
0.028,0.054,0.101,0.02
0.004,0.13,0.038,0.011
